source	level
market	0
marseille	1
toulouse	1
paris	1
rennes	2
st-greg	3
st-greg-1-in	4
st-greg-1	4
st-greg-2	4
st-greg-3	4
st-greg-2-in	4
cesson	3
cesson-in	4
cesson-1	4
cesson-2	4
cesson-2-in	4
cesson-3-in	4
nantes	2
orvault	3
orvault-in	4
orvault-1	4
orvault-2	4
vertou	3
vertou-in	4
vertou-1	4
vertou-2	4
limoux	2
roquefeuil	3
roquefeuil-2	4
belcaire	3
belcaire-in	4
belcaire-2	4
espezel	3
espezel-in	4
espezel-2	4
espezel-3	4
espezel-4	4
espezel-5	4
espezel-6-in	4
